,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
0,DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin,
1,DB00002,Cetuximab,BiotechDrug,P00533,Epidermal growth factor receptor,
2,DB00002,Cetuximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
3,DB00002,Cetuximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,
4,DB00002,Cetuximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,
5,DB00002,Cetuximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,
6,DB00002,Cetuximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
7,DB00002,Cetuximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
8,DB00002,Cetuximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
9,DB00004,Denileukin diftitox,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha,
10,DB00004,Denileukin diftitox,BiotechDrug,P14784,Interleukin-2 receptor subunit beta,
11,DB00004,Denileukin diftitox,BiotechDrug,P31785,Cytokine receptor common subunit gamma,
12,DB00005,Etanercept,BiotechDrug,P01375,Tumor necrosis factor,
13,DB00005,Etanercept,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
14,DB00005,Etanercept,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
15,DB00005,Etanercept,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
16,DB00005,Etanercept,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,
17,DB00005,Etanercept,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
18,DB00005,Etanercept,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
19,DB00005,Etanercept,BiotechDrug,P01374,Lymphotoxin-alpha,
20,DB00005,Etanercept,BiotechDrug,P02745,Complement C1q subcomponent subunit A,
21,DB00005,Etanercept,BiotechDrug,P02746,Complement C1q subcomponent subunit B,
22,DB00005,Etanercept,BiotechDrug,P02747,Complement C1q subcomponent subunit C,
23,DB00006,Bivalirudin,SmallMoleculeDrug,P00734,Prothrombin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
24,DB00007,Leuprolide,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,
25,DB00008,Peginterferon alfa-2a,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
26,DB00008,Peginterferon alfa-2a,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
27,DB00009,Alteplase,BiotechDrug,P00747,Plasminogen,
28,DB00009,Alteplase,BiotechDrug,P02671,Fibrinogen alpha chain,
29,DB00009,Alteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,
30,DB00009,Alteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,
31,DB00010,Sermorelin,BiotechDrug,Q02643,Growth hormone-releasing hormone receptor,
32,DB00011,Interferon alfa-n1,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
33,DB00011,Interferon alfa-n1,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
34,DB00012,Darbepoetin alfa,BiotechDrug,P19235,Erythropoietin receptor,
35,DB00013,Urokinase,BiotechDrug,P00747,Plasminogen,
36,DB00013,Urokinase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor,
37,DB00013,Urokinase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,
38,DB00013,Urokinase,BiotechDrug,P05120,Plasminogen activator inhibitor 2,
39,DB00013,Urokinase,BiotechDrug,P05154,Plasma serine protease inhibitor,
40,DB00013,Urokinase,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2,
41,DB00013,Urokinase,BiotechDrug,Q9Y5Y6,Suppressor of tumorigenicity 14 protein,
42,DB00013,Urokinase,BiotechDrug,P14543,Nidogen-1,
43,DB00014,Goserelin,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
44,DB00014,Goserelin,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
45,DB00015,Reteplase,BiotechDrug,P00747,Plasminogen,
46,DB00015,Reteplase,BiotechDrug,P02671,Fibrinogen alpha chain,
47,DB00015,Reteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,
48,DB00016,Erythropoietin,BiotechDrug,P19235,Erythropoietin receptor,
49,DB00017,Salmon calcitonin,BiotechDrug,P30988,Calcitonin receptor,
50,DB00018,Interferon alfa-n3,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
51,DB00018,Interferon alfa-n3,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
52,DB00019,Pegfilgrastim,BiotechDrug,Q99062,Granulocyte colony-stimulating factor receptor,
53,DB00020,Sargramostim,BiotechDrug,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,
54,DB00020,Sargramostim,BiotechDrug,P26951,Interleukin-3 receptor subunit alpha,
55,DB00020,Sargramostim,BiotechDrug,P32927,Cytokine receptor common subunit beta,
56,DB00020,Sargramostim,BiotechDrug,P34741,Syndecan-2,
57,DB00020,Sargramostim,BiotechDrug,P13727,Bone marrow proteoglycan,
58,DB00022,Peginterferon alfa-2b,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
59,DB00022,Peginterferon alfa-2b,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
60,DB00024,Thyrotropin alfa,BiotechDrug,P16473,Thyrotropin receptor,
61,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P00742,Coagulation factor X,
62,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P00740,Coagulation factor IX,
63,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P04275,von Willebrand factor,
64,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",
65,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P07307,Asialoglycoprotein receptor 2,
66,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P11021,78 kDa glucose-regulated protein,
67,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27797,Calreticulin,
68,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27824,Calnexin,
69,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P49257,Protein ERGIC-53,
70,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1,
71,DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q8NI22,Multiple coagulation factor deficiency protein 2,
72,DB00026,Anakinra,BiotechDrug,P14778,Interleukin-1 receptor type 1,
73,DB00028,Human immunoglobulin G,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
74,DB00028,Human immunoglobulin G,BiotechDrug,Q92637,High affinity immunoglobulin gamma Fc receptor IB,
75,DB00028,Human immunoglobulin G,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
76,DB00028,Human immunoglobulin G,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
77,DB00028,Human immunoglobulin G,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,
78,DB00028,Human immunoglobulin G,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
79,DB00028,Human immunoglobulin G,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
80,DB00028,Human immunoglobulin G,BiotechDrug,P01024,Complement C3,
81,DB00028,Human immunoglobulin G,BiotechDrug,P0C0L4,Complement C4-A,
82,DB00028,Human immunoglobulin G,BiotechDrug,P01031,Complement C5,
83,DB00028,Human immunoglobulin G,BiotechDrug,P0C0L5,Complement C4-B,
84,DB00029,Anistreplase,BiotechDrug,P00747,Plasminogen,
85,DB00029,Anistreplase,BiotechDrug,P02671,Fibrinogen alpha chain,
86,DB00029,Anistreplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1,
87,DB00030,Insulin human,BiotechDrug,P06213,Insulin receptor,
88,DB00030,Insulin human,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,
89,DB00030,Insulin human,BiotechDrug,P06400,Retinoblastoma-associated protein,
