,Compound name,SMILES
0,Nalbuphine,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O
1,Raclopride,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O
2,Zacopride,COC1=CC(=C(C=C1C(=O)NC2CN3CCC2CC3)Cl)N
3,SKF 83566,CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)Br
4,3'-deoxyadenosine,C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO
5,AM 404,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC1=CC=C(C=C1)O
6,Pilocarpine hydrochloride,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.Cl
7,Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
8,Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
9,"3-hydroxy-1,2-dimethyl-4(1H)-pyridone",CC1=C(C(=O)C=CN1C)O
10,Loxapine succinate,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O
11,d-3-Methoxy-N-methylmorphinan hydrobromide,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC.Br
12,Duloxetine,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
13,"Glycine, N-[2-[(acetylthio)methyl]-1-oxo-3-phenylpropyl]-,phenylmethyl ester",CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
14,"Benzeneacetic acid, 2-[(2,6-dichlorophenyl)amino]-, monosodium salt",C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]
15,Progesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
16,Famotidine,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N
17,"SR 57,227A",C1CN(CCC1N)C2=NC(=CC=C2)Cl.Cl
18,Pancuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]
19,Metronidazole,CC1=NC=C(N1CCOC(=O)NCCCCC(C(=O)O)N)[N+](=O)[O-]
20,"Benzeneacetic acid, alpha-(hydroxymethyl)-, 9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl ester, [7(S)-(1alpha,2beta,4beta,5alpha,7beta)]-",CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@@](CO)(C4=CC=CC=C4)O
21,"Benzeneacetonitrile, alpha-[3-[[2-(3,4-dimethoxyphenyl)ethyl]methylamino]propyl]-3,4-dimethoxy-alpha-(1-methylethyl)-, (R)-",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
22,"Benzeneethanamine, N,alpha-dimethyl-N-2-propynyl-(R)-",C[C@H](CC1=CC=CC=C1)N(C)CC#C
23,Capsaicin,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC
24,Salbutamol sulfate,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O
25,(±)-Vesamicol hydrochloride,C1CCC(C(C1)N2CCC(CC2)C3=CC=CC=C3)O.Cl
26,Picrotin - Picrotoxinin,CC(=C)[C@@H]1C2[C@@H]3[C@@]4([C@](C1C(=O)O2)(CC5[C@]4(O5)C(=O)O3)O)C.C[C@@]12[C@H]3C4[C@H](C([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
27,Terazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC
28,Diphenylcyclopropenone,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3
30,Mesoridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
31,"3(2H)-Pyridazinone, 6-[4-(difluoromethoxy)-3-methoxyphenyl]-",COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F
32,"10H-Phenothiazine, 2-chloro-10-[3-(4-methyl-1-piperazinyl)propyl-",CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
