,compound,gene,db,ctd,SMILES,n_db
0,"((e)-n-4-(1,2,3,4-tetrahydroisoquinolin-2-yl)butyl)-3-phenylacrylamide",DRD3,False,True,C1CN(CC2=CC=CC=C21)CCCCNC(=O)/C=C/C3=CC=CC=C3,1
1,(+)-2-(4-biphenyl)propionicAcid,PTGS1,True,False,C[C@H](C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1,1
2,(+)-rutamarinAlcohol,GAPDHS,True,False,CC(C)(O)[C@@H]1CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C,1
3,(+)-rutamarinAlcohol,,True,False,CC(C)(O)[C@@H]1CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C,1
4,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",AHCY,True,False,NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O,1
5,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",CNR1,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
6,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",CNR2,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
7,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",GPR55,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
8,(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)aceticAcid,PLA2G2A,True,False,COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O,1
9,"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonicAcid",ISPU,True,False,OC(CC1=CC=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O,1
10,"(1-hydroxyheptane-1,1-diyl)bis(phosphonicAcid)",GGPS1,True,False,CCCCCCC(O)(P(O)(O)=O)P(O)(O)=O,1
