,drug,gene,Value,pair_downloaded
130,Quercetin,AR,1.0,10
525,Dehydroepiandrosterone,AR,1.0,10
852,Prazosin,AR,1.0,10
458,Digoxin,AR,1.0,10
459,Cyproterone Acetate,AR,1.0,10
466,Progesterone,AR,1.0,10
680,Paclitaxel,AR,1.0,10
462,Carbazole,AR,1.0,10
1206,Sirolimus,AR,1.0,10
611,Apigenin,AR,1.0,10
594,Tamoxifen,AR,1.0,10
590,Curcumin,AR,1.0,10
584,Kaempferol,AR,1.0,10
4,Pyrene,AR,1.0,10
457,Indole,AR,1.0,10
1195,Daunorubicin,AR,1.0,10
516,Flutamide,AR,1.0,10
527,"1,10-Phenanthroline",AR,1.0,10
219,Methylene Blue,AR,1.0,10
862,Bortezomib,AR,1.0,10
446,Rotenone,AR,1.0,10
745,Calcitriol,AR,1.0,10
747,Tacrolimus,AR,1.0,10
534,Celecoxib,AR,1.0,10
188,Forskolin,AR,1.0,10
1011,Fluoxetine,AR,1.0,10
214,Pregnenolone,AR,1.0,10
248,Menadione,AR,1.0,10
898,Dasatinib,AR,1.0,10
297,Loratadine,AR,1.0,10
966,Parthenolide,AR,1.0,10
770,Bardoxolone Methyl,AR,1.0,9
119,Diazepam,AR,1.0,9
34,Haloperidol,AR,1.0,9
169,Levonorgestrel,AR,1.0,9
16,Bisphenol A,AR,1.0,9
17,Flavone,AR,1.0,9
279,Mifepristone,AR,1.0,9
649,Finasteride,AR,1.0,9
776,Pazopanib,AR,1.0,9
867,Everolimus,AR,1.0,9
582,Cycloheximide,AR,1.0,9
792,Carfilzomib,AR,1.0,9
709,Calcipotriol,AR,1.0,9
303,Estriol,AR,1.0,9
562,Ethinylestradiol,AR,1.0,8
749,Tanespimycin,AR,1.0,8
232,Norgestrel,AR,1.0,8
596,Hydroxyflutamide,AR,1.0,8
14,Disulfiram,AR,1.0,8
15,Phenothiazine,AR,1.0,8
1148,Mycophenolate Mofetil,AR,1.0,8
163,Fenofibrate,AR,1.0,8
270,Fipronil,AR,1.0,8
1082,Nocodazole,AR,1.0,8
1142,Clobetasol Propionate,AR,1.0,7
1188,Efavirenz,AR,1.0,7
107,Diethylstilbestrol,AR,1.0,7
765,Paroxetine,AR,1.0,7
33,Troglitazone,AR,1.0,7
23,Triclosan,AR,1.0,7
961,Mycophenolic Acid,AR,1.0,7
121,Dactinomycin,AR,1.0,7
816,Clobetasol,AR,1.0,7
682,Rimonabant,AR,1.0,7
103,Reserpine,AR,1.0,6
1201,Alphaxalone,AR,1.0,5
298,Ouabain,AR,1.0,5
489,Vinclozolin,AR,1.0,5
151,Tebuconazole,AR,1.0,5
93,Paraoxon,AR,1.0,5
191,Bexarotene,AR,1.0,5
1065,Nicardipine,AR,1.0,4
430,Fluoranthene,AR,1.0,4
1049,Sanguinarine,AR,1.0,4
387,Tolvaptan,AR,1.0,4
920,Gossypol,AR,1.0,4
634,bisphenol AF,AR,1.0,4
631,"2,4-Dinitrophenol",AR,1.0,4
73,Fludioxonil,AR,1.0,4
560,Linuron,AR,1.0,4
65,Cyprodinil,AR,1.0,4
28,Endrin,AR,1.0,3
334,Fenretinide,AR,1.0,3
780,Dronedarone,AR,1.0,3
448,Procymidone,AR,1.0,3
1088,Loperamide,AR,1.0,3
396,Clioquinol,AR,1.0,3
1048,Spiperone,AR,1.0,3
567,Metolachlor,AR,1.0,3
1252,Apomorphine,AR,1.0,3
633,Prochloraz,AR,1.0,3
212,2-Chloro-5-nitrobenzanilide,AR,1.0,3
293,Pimozide,AR,1.0,3
288,Danazol,AR,1.0,3
433,Coumaphos,AR,1.0,2
417,Octocrylene,AR,1.0,2
479,Benzo(F)Quinoline,AR,1.0,2
529,Parathion,AR,1.0,2
369,Astemizole,AR,1.0,2
229,Dicyclohexyl phthalate,AR,1.0,2
445,Pendimethalin,AR,1.0,2
269,Difenoconazole,AR,1.0,2
21,Methoxychlor,AR,1.0,2
171,Avobenzone,AR,1.0,2
247,Tolnaftate,AR,1.0,2
385,Luliconazole,AR,1.0,2
13,Nitrofurazone,AR,1.0,2
194,Tolcapone,AR,1.0,2
294,Nilutamide,AR,1.0,2
636,Propiconazole,AR,1.0,2
1175,Mevastatin,AR,1.0,2
717,Demecolcine,AR,1.0,2
585,Tetrabromobisphenol A,AR,1.0,2
595,Zeranol,AR,1.0,2
1012,Fluspirilene,AR,1.0,2
1126,Chloroxine,AR,1.0,2
252,Penconazole,AR,1.0,1
512,Bisphenol B,AR,1.0,1
30,1-Hydroxypyrene,AR,1.0,1
22,Oryzalin,AR,1.0,1
1014,Efaroxan,AR,1.0,1
18,Azoxystrobin,AR,1.0,1
602,Thiram,AR,1.0,1
659,Gestodene,AR,1.0,1
274,Fenoxycarb,AR,1.0,1
550,Triclocarban,AR,1.0,1
558,Captan,AR,1.0,1
255,Hexestrol,AR,1.0,1
693,Zafirlukast,AR,1.0,1
7,4-Tert-octylphenol,AR,1.0,1
52,"2,5-Di-tert-butylhydroquinone",AR,1.0,1
647,Diuron,AR,1.0,1
588,Ethacrynic Acid,AR,1.0,1
5,1-Naphthaleneacetic Acid,AR,1.0,1
703,Tioconazole,AR,1.0,1
40,Mepanipyrim,AR,1.0,1
300,Atraric Acid,AR,1.0,1
43,Hexaconazole,AR,1.0,1
605,Chlordecone,AR,1.0,1
140,Bergapten,AR,1.0,1
1229,Emetine,AR,1.0,1
375,Oxymetholone,AR,1.0,1
801,Penfluridol,AR,1.0,1
757,Nitroxoline,AR,1.0,1
72,Tetramethrin,AR,1.0,1
74,Fenbuconazole,AR,1.0,1
61,Methyl Parathion,AR,1.0,1
60,Tetraconazole,AR,1.0,1
70,Pyridaben,AR,1.0,1
317,Benzo(K)Fluoranthene,AR,1.0,1
196,Triphenylethylene,AR,1.0,1
424,Oxadiazon,AR,1.0,1
370,Phenethyl Isothiocyanate,AR,1.0,1
866,Amorolfine,AR,1.0,1
860,Lestaurtinib,AR,1.0,1
114,Acetochlor,AR,1.0,1
881,Norgestimate,AR,1.0,1
392,Bisacodyl,AR,1.0,1
81,Ro 40-6055,AR,1.0,1
85,Quinoxyfen,AR,1.0,1
97,Nitrofen,AR,1.0,1
185,Buspirone,AR,1.0,1
476,Chlorobenzilate,AR,1.0,0
671,Tibolone,AR,1.0,0
480,Propanil,AR,1.0,0
665,Telithromycin,AR,1.0,0
575,Hexachlorophene,AR,1.0,0
645,Bromoxynil,AR,1.0,0
506,Alachlor,AR,1.0,0
917,Hycanthone,AR,1.0,0
689,Clofarabine,AR,1.0,0
677,Dipyrithione,AR,1.0,0
744,Cilnidipine,AR,1.0,0
599,4-Hydroxybenzophenone,AR,1.0,0
561,"2,4-Dihydroxybenzophenone",AR,1.0,0
563,4-Cumylphenol,AR,1.0,0
628,1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide,AR,1.0,0
607,Fenthion,AR,1.0,0
402,Bithionol,AR,1.0,0
407,"3,4,5-Trichlorophenol",AR,1.0,0
778,Dipentamethylenethiuram disulfide,AR,1.0,0
783,Aranidipine,AR,1.0,0
320,3-Hydroxybenzophenone,AR,1.0,0
321,"4,4'-Dihydroxybiphenyl",AR,1.0,0
796,Spiradoline,AR,1.0,0
273,Pencycuron,AR,1.0,0
808,Brotizolam,AR,1.0,0
855,Deserpidine,AR,1.0,0
349,"2,2'-Dihydroxy-6,6'-dinaphthyldisulfide",AR,1.0,0
358,Canertinib,AR,1.0,0
851,Rubitecan,AR,1.0,0
328,Bisphenol E,AR,1.0,0
882,Vatalanib,AR,1.0,0
331,2-Methylphenanthrene,AR,1.0,0
329,"1,1-Bis(4-hydroxyphenyl)-2,2-dichloroethylene",AR,1.0,0
374,1-Nitropyrene,AR,1.0,0
378,Etonitazene,AR,1.0,0
278,Mestranol,AR,1.0,0
802,Ziprasidone,AR,1.0,0
