,Cas,Drug,SMILES
0,269390-69-4,N-(4-Chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3
1,221244-14-0,"1-(1,1-Dimethylethyl)-3-(1-naphthalenylmethyl)-1H-pyrazolo(3,4-d)pyrimidin-4-amine",CC(C)(C)N1C2=NC=NC(=C2C(=N1)CC3=CC=CC4=CC=CC=C43)N
2,380843-75-4,Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
3,7272-84-6,3-(4-pyridyl)-1H-indole,C1=CC=C2C(=C1)C(=CN2)C3=CC=NC=C3
4,154447-36-6,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
5,151342-35-7,"(S)-3-(8-((Dimethylamino)methyl)-6,7,8,9-tetrahydropyrido(1,2-a)indol-10-yl)-4-(1-methyl-1H-indol-3-yl)-1H-pyrrol-2,5-dione",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5C[C@H](CCN5C6=CC=CC=C64)CN(C)C
6,496864-16-5,RP107,CCCCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)O
7,852527-97-0,"Alsterpaullone, 2-Cyanoethyl",C1C2=C(C3=C(C=CC(=C3)CCC#N)NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]
8,879127-16-9,C-1368,C1CC1C(=O)NC2=CC=CC(=C2)NC3=NC=CC(=N3)NC4=CC=CC(=C4)C(F)(F)F
9,184475-35-2,Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
10,34823-86-4,Gtp 14564,C1=CC=C(C=C1)C2=NNC3=C2OC4=CC=CC=C43
11,522629-08-9,Cgp 57380,C1=CC(=CC=C1NC2=C3C(=NC=NC3=NN2)N)F
12,249762-74-1,D-65476,CCCC(=O)OC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC4=CC=CC=C4N3
13,196868-63-0,PQ-401,CC1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=C(C=CC(=C3)Cl)OC
14,331253-86-2,PDK1/Akt/Flt Dual Pathway Inhibitor,C1=CC=C2C(=C1)C3=NC4=NN=NN4N=C3C2=O
15,627518-40-5,Jnj-10198409,COC1=C(C=C2C(=C1)CC3=C2NN=C3NC4=CC(=CC=C4)F)OC
16,387867-13-2,Tandutinib,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5
17,175178-82-2,"N-(3-Chlorophenyl)-6,7-dimethoxy-4-quinazolinamine",COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
18,326914-10-7,SU-11652,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C
19,300801-52-9,TG-003,CCN\1C2=C(C=CC(=C2)OC)S/C1=C\C(=O)C
20,300801-52-9,TG-003,CCN1C2=C(C=CC(=C2)OC)SC1=CC(=O)C
21,300801-52-9,TG-003,CCN\1C2=C(C=CC(=C2)OC)S/C1=C/C(=O)C
